"43","Result = 0   for( i=0 "," i<=absoluteValue(input) ","  i++) { result += I "," } return result â€“ input","NORM","I-NEG","I-ATH","COR","CODE ","NOUT ","NIN"
"9","Let n be input.  If n > 0: return (n-1)(n-2)/2 else: return (-n)(-n - 1)/2","NORM","I-DNEG","I-ATH","COR","NIN","","","","",""
"50","(n(n-1))/2","NORM","","I-ATH","COR","NIN","","","","",""
"21","(     ((n-1)^2) + (n-1)     ) / 2","NORM","","I-ATH","COR","NIN","","","","",""
"77","(x^2 - x) / 2","NORM","","I-ATH","COR","NIN","","","","",""
"62","x * (x-1) /2","NORM","","I-ATH","COR","NIN","","","","",""
"78","x(x-1)/2","NORM","","I-ATH","COR","NIN","","","","",""
"39","Let input = n. Function calculates n(n-1)/2","NORM","","I-ATH","COR","NIN","","","","",""
"36","(1/2)(x)(x-1)","NORM","","I-ATH","COR","NIN","","","","",""
"89","a*a/2 - a/2","NORM","","I-ATH","COR","NIN","","","","",""
"18",""= x * (x-1)*0.5"","NORM","","I-ATH","COR","NIN","","","","",""
"0","Given a number n, prints out the number ((n)(n-1))/2.","NORM","","I-ATH","COR","NIN","PRINT","","","",""
"2","(input / 2) * (input) - (input / 2)","NORM","","I-ATH","COR","NIN","","","","",""
"3","Returns n*(n-1)/2.","NORM","","I-ATH","COR","NIN","","","","",""
"15","squares the input, divides that by 2 (rounds down) and then subtracts half of the original input.","NORM","","I-ATH","COR","","","","","",""
"29","Computes the triangular number of the input integer, aka n(n-1)/2","NORM","","I-ATH I-TN","COR","NIN","","","","",""
"1","The function returns 0 when the input is 0.  Otherwise, it returns f(x)  = f(x - 1) + (x - 1).","NORM","","I-R1ST I-BASE","COR","NIN NFCN","","","","",""
"55","Going in the positive direction you add to the previous direction n-1. Going in the negative direction you add negative(n) to the previous value.","NORM","I-DNEG","I-R1ST I-RBASE","COR","NIN","","","","",""
"74","0 --> 0. For integer k > 0, f(k) = f(k-1) + (k-1) For integer k < 0, f(k) = f(k+1) + |k|","NORM","","I-RBASEI-R1ST","COR","NIN NFCN ","","","","",""
"81","Given a positive integer n, calculates the sum of 0, 1, ..., n-2, n-1. Given a negative integer n, calculates the sum of 0, 1, ..., -n-1, -n.","NORM","I-DNEG","I-SDEXP I-SASC I-SBOUND","COR","NIN","","","","",""
"35","x = + is x-1 + x-2 ...+0 x=-  is abs (x+x+1+x+2+0)","NORM","I-DNEG","I-SDEXP I-SDSC I-SBOUND","COR","NIN","","","","",""
"38","If positive n, sum numbers 1 to n-1 If negative n, sum numbers 1 to -n If 0, 0","NORM","I-DNEG","I-SWORD I-SASC","COR","NIN","","","","",""
"59","This function is the sum of all numbers from 0 to the input (not inclusive). If the input is negative, the function is the sum of all numbers from 0 to the absolute value of the input (not inclusive).","NORM","I-DNEG","I-SWORD I-SASC I-SBOUND","COR","","","","","",""
"70","if positive, sums all integers from 0 up to the input. if negative, sums all absolute values of integers from 0 up to an including the input","NORM","I-DNEG","I-SWORD I-SASC I-SBOUND","COR","","","","","",""
"61","It will sum up the numbers up to that number. If it is negative, it will negate it and sum including that number","NORM","I-DNEG","I-SWORD I-SASC I-SBOUND","COR","","","","","",""
"80","If the number n entered is positive, the output is the sum of all numbers from 0 to (n - 1). If the number n entered is negative, the output is the sum of all numbers from 0 to |n|","NORM","I-DNEG","I-SWORD I-SASC I-SBOUND","COR","","","","","",""
"4","If the number is positive it will sum from 0  - number and then subtract the number from answer. If the number is negative it will sum the absolute value from 0 - absolute value of number.","NORM","I-DNEG","I-SWORD I-SASC I-SBOUND","COR","","","","","",""
"46","Let x be the input of this function. If x >= 0, the output is (x - 1) + (x - 2) + ... + 0 If x < 0, the output is abs(x) + abs(x + 1) + ... + 0","NORM","I-DNEG","I-SWORD I-SDSC I-SBOUND","COR","NIN","","","","",""
"87","If the input is positive, then return the (n-1)th triangular number; if the input is not positive, then return the abs(n)th triangular number","NORM","I-DNEG","I-TN-1 I-TN","COR","","","","","",""
"42","If even, divide the input by half and multiply input by this half and then subtract the half from the result. If odd, only multiply by half of the input (rounding down)","NORM","","I-WORD","COR","I-EO","","","","",""
"66","The closest odd integer less than or equal to INTEGER multiplied by INTEGER / 2 (rounded towards zero)","NORM","","I-WORD","COR","I-EO NIN","","","","",""
"54","at step 0, we add 1 to the given number. AT step 2, we add 2 to the given number and so on.","NORM","","I-PAT","MCOR","I-DIST","","","","",""
"48","multiplies number by 0,0.5,1,1.5,2,2.5 qnd so forth","NORM","","I-PAT","MCOR","I-MULT","","","","",""
"28","This function gives the same answer for -x and x+1","NORM","","I-PAT","MCOR","NIN","","","","",""
"23","for each number after 3 the difference between f(x+1) and f(x) is x","NORM","","I-PAT","MCOR","NIN NFCN","","","","",""
"11","first it adds 1 to the previous output, then 2, then 3, then 4, and so on","NORM","","I-PAT","MCOR","","","","","",""
"8","some kind of summation, difference increases by 1 each time","NORM","","I-PAT I-S","MCOR","","","","","",""
"12","for f(n), outputs f(n-1)+(n-1)","NORM","","I-R1ST","MCOR","NIN NFCN","","","","",""
"76","Still the same as my previous guess, I just made an arithmetic mistake:  f(y) = f(y - 1) + y","NORM","","I-R1ST","MCOR","NIN NFCN ","","","","",""
"37","This function adds sequence number n-i to f(n-i)","NORM","","I-R1ST","MCOR","NIN NFCN ","","","","",""
"58","For integer i, foo(i) = (i-1) + foo(i-1).","NORM","","I-R1ST","MCOR","NIN NFCN ","","","","",""
"32","f(n) = f(n-1)+(n-1)","NORM","","I-R1ST","MCOR","NIN NFCN ","","","","",""
"65","It returns the sum of the past output and the past input (or something like that)","NORM","","I-R1ST","MCOR","UNS ","","","","",""
"68","returns the addition of the input and output result of the input-1.","NORM","","I-R1ST","MCOR","","","","","",""
"22","Add's input minus one to the consecutively previous integer's input","NORM","","I-R1ST","MCOR","","","","","",""
"67","the function returns the output as follows: input - 1 + output of(input-1)","NORM","","I-R1ST","MCOR","","","","","",""
"19","It's the sum of previous integer + previous evaluation","NORM","","I-R1ST","MCOR","","","","","",""
"7","Incrementing the previous answer by the first number, with 0 outputting 0.","NORM","","I-R1ST I-RBASE","MCOR","","","","","",""
"13","for pos, fib(x-1); for neg, fib(|x|) (i wrote this last time but i messed it up writing the answer lol)","NORM","I-DNEG","I-RFIB","MCOR","NIN","","","","",""
"10","Given input  = 0 or 1, inputs greater = 1+2+3+...+x_n, where n is the input number","NORM","","I-SDEXP I-SASC I-SBOUND","MCOR","","","","","",""
"5","(int-1) + (int-2) + .. + 0","NORM","","I-SDEXP I-SDSC I-SBOUND","MCOR","NIN","","","","",""
"33","Sum of all the positive numbers up to the number one less than the input number","NORM","","I-SWORD I-SASC","MCOR","NIN","","","","",""
"40","the sum of all numbers before it up to 0","NORM","","I-SWORD I-SASC","MCOR","","","","","",""
"79","sum of numbers upto it","NORM","","I-SWORD I-SASC","MCOR","","","","","",""
"51","return the absolute values of the sum of all the numbers from 0 to the input","NORM","","I-SWORD I-SASC","MCOR","","","","","",""
"6","sum of all the numbers up to input","NORM","","I-SWORD I-SASC","MCOR","","","","","",""
"73","like ! but for addition and excluding the current integer","NORM","","I-SWORD I-SASC I-SBOUND","MCOR","","","","","",""
"16","Returns the sum of all numbers less than the absolute value of the input - 1.","NORM","","I-SWORD I-SASC I-SBOUND","MCOR","","","","","",""
"75","returns sum of all positive numbers before number inputted","NORM","","I-SWORD I-SASC I-SBOUND","MCOR","","","","","",""
"30","adds all positive integers smaller than input integer n","NORM","","I-SWORD I-SBOUND","MCOR","NIN","","","","",""
"45","nth triangular number","NORM","","I-TN","MCOR","NIN","","","","",""
"83","(n-1)st triangular number","NORM","","I-TN-1","MCOR","NIN","","","","",""
"20","First subtract 1 from the input only if the number is even, keep the number if it is odd, then multiply this by the number divided by 2","NORM","","I-WORD","MCOR","I-EO","","","","",""
"86","n-1th triangular number","NORM","","TN-1","MCOR","NIN","","","","",""
"90","For every number k, where k is an odd number, the result is k * n where n is the result of dividing k by 2 and subtracting 0.5. For k + 1, the result is k + 1 * n + 1.","NORM","","I-ATH","SCOR","I-EO","","","","",""
"14","Absolute value of arithmetic series","NORM","I-NEG","I-ATH","SCOR","","","","","",""
"88","Does some sort of geometric sequence?","NORM","","I-PAT","SCOR","","","","","",""
"72","some absolute value + exponential","NORM","","I-PAT","SCOR","","","","","",""
"85","It keeps summing up from the previous index","NORM","","I-PAT","SCOR","","","","","",""
"84","fibonacci sequence - based on the previous numbers evaluate to","NORM","","I-RFIB","SCOR","","","","","",""
"53","If a number is even, the next even number evaluates to the previous even number value plus 5. If a number is odd, that even number evaluates to that number times its index (i.e. 1 is at index 0, 3 is at index 1, etc.)","NORM","","I-WORD","SCOR","I-EO IO ","","","","",""
"56","mod","NONS","","","","","","","","",""
"57","This is like the pascal triangle thing in a way. So all the answers build on each other. 1 is 0 and 2 is 0+1 and 3 is 2+1 and 4 is 3+3. So every number has an output equal to the previous number plus its output.","NORM","","I-T I-R1ST","COR","IO","","","","",""
"69","if input is positive, the integer produced is the output of the (input-1) + input negative version is similar, except output is the same as |input| + 1 NOTE: not the best description of the function, more of the patterns","NORM","I-DNEG","I-R1ST","MCOR","NIN UNS","","","","",""
