"90","Given integer X, returns X * (X-1) / 2","","","","",""
"198","Answer","Comprehensible?","Negative inputs mentioned?","Expression?","Correctness?","Miscellaneous?"
"132","take number and divide by two and times by original number minus 1","NORM","","I-ATH","COR",""
"117","divided by 2 times x-1","NORM","","I-ATH","COR",""
"99","As the first input increases by one, the second output increases by one larger than it did previously.","NORM","","I-PAT","COR","I-DIST"
"135","The function begins with the input of 0 being multiplied by-.5. As the input either increases or decreases, the multiplier increases or decreases by .5. (i.e. 0*-.5; 1*0; 3*1)","NORM","I-NEG","I-PAT","COR","I-MULT"
"171","with each increase by one in input the value it's multiplied by increases by 0.5","NORM","","I-PAT","COR","I-MULT"
"106","Starting at 0, the function multiplies the input by .5 and then increasing the multiple by .5 for every input greater than 0","NORM","","I-PAT","COR","I-MULT"
"196","No longer confusion, each integer is multiplied by .5 higher starting at 1=0, 2=1, 3=3 and so on.","NORM","","I-PAT","COR","I-MULT"
"110","as each input increases by one, the input is multiplied by a number that increases by 0.5 with each input","NORM","","I-PAT","COR","I-MULT"
"103","Each number evaluates to equal the input+output of the number prior. (ex. 9=36 so 10=36+9)","NORM","","I-RBN I-R1ST","MCOR","IO"
"182","If 6 evaluates to 15 and 7 evaluates to 21 then 8 evaluates to 28. 8+21=29-1=28. The function takes the previous answer, adds it to the new number, and then subtracted one.","NORM","","I-RBN I-R1ST","MCOR","IO"
"114","for each input integer you subtract one and add it to the previous output to get the new output. so 1=0, 2=0+1, 3=0+1+2, so on and so forth.","NORM","","I-RBN I-R1ST","MCOR","IO"
"116","It adds the input and output together, yielding the product of the next "n"","NORM","","I-RBN I-R1ST","MCOR","NINP"
"127","input plus previous output -1","NORM","","I-RBN I-R1ST","MCOR",""
"165","to add last number and its result","NORM","","I-RBN I-R1ST","MCOR",""
"166","If the input increases by 1 each time, the output is equal to the previous output plus the previous input (AKA the current input - 1).","NORM","","I-RBN I-R1ST","MCOR",""
"111","add number before and its value together","NORM","","I-RBN I-R1ST","MCOR",""
"199","This function adds the input of the one prior to it to its output.","NORM","","I-RBN I-R1ST","MCOR",""
"150","The output is equal to the sum of the input minus one and the output for that number","NORM","","I-RBN I-R1ST","MCOR",""
"151","the input is multiplied by half of its total and then subtracted from the same amount","NORM","","I-RBN I-R1ST","MCOR",""
"149","Odd number follow x*(n+1),  and even  follow  (x-n)*(n+1)","NORM","","I-ATH","SCOR","I-EO"
"197","This function multiplies the input by an integer","NORM","","I-PAT","SCOR","I-MULT"
"172","takes the number, multiplies it and then subtracts by n term","NORM","","I-PAT","SCOR","I-MULT"
"186","odd numbers are multiplied by a depending on how large they are in the sequence of odd numbers.  even numbers are multiplied by two and then added to half of the original input","NORM","","I-PAT","SCOR","I-MULT, I-EO"
"97","odd number times the number that is odd, so like 1,3,5,7,9 and you take 9 and multiply it by 4. if you take 7 you multiply by 3, if you take 5 multiply by 2.","NORM","","I-PAT","SCOR","IO, I-MULT"
"115","the output is the input plus one","NORM","","I-ATH","XCOR",""
"155","If the first input is even and the second input is odd, it equals 1","NORM","","I-OTH","XCOR","I-EO"
"95","Multiplies integer by 1","NORM","","I-OTH","XCOR","I-MULT"
"105","output=x-1 if x<=2, output=x if x=3, output=3*x/2 if x=4, output=x*2 if x=5, output=3*x/2 if x=6","NORM","","I-OTH","XCOR","IO"
"192","positive numbers return a 0 and negative number return a 1","NORM","I-DNEG","I-OTH","XCOR",""
"194","adds .5","NORM","","I-OTH","XCOR",""
"98","y = is the quotient in numerical order of x","NORM","","I-OTH","XCOR",""
"102","Its listing non-fractional integers","NORM","","I-OTH","XCOR",""
"188","create an interger","NORM","","I-OTH","XCOR",""
"96","I think this function calculates a slope","NORM","","I-OTH","XCOR",""
"163","a number that goes into the number","NORM","","I-OTH","XCOR",""
"169","integer, it is 1 because it is even","NORM","","I-OTH","XCOR",""
"120","everything to 0","NORM","","I-OTH","XCOR",""
"153","multiplies the first integer by 2 and then subtracts by x","NORM","","I-OTH","XCOR",""
"184","x2 -1","NORM","","I-OTH","XCOR",""
"131","Serves as average","NORM","","I-OTH","XCOR",""
"185","Assigns random value for every input.","NORM","","I-OTH","XCOR",""
"174","Adds 2 to the input integer","NORM","","I-OTH","XCOR",""
"168","middle value","NORM","","I-OTH","XCOR",""
"136","1 or goes to the even","NORM","","I-OTH","XCOR",""
"108","an even number is multiplied and an odd number is added","NORM","","I-OTH","XCOR",""
"119","It adds a number to be added each time.","NORM","","I-OTH","XCOR",""
"176","It multiplies odd numbers by what odd number they are in a list the first number being number 0.","NORM","","I-OTH","XCOR",""
"160","2","NONS","","","",""
"92","Decimal?","NONS","","","",""
"154","determines guessing skills","NONS","","","",""
"148","36","NONS","","","",""
"138","1","NONS","","","",""
"128","0","NONS","","","",""
"109","3","NONS","","","",""
"170","alot","NONS","","","",""
"178","solves","NONS","","","",""
"167","6","NONS","","","",""
"146","FALSE","NONS","","","",""
"187","if the addition is odd, false","NONS","","","",""
"123","evaluates fractional values from the integer","NONS","","","",""
"134","count","NONS","","","",""
"175","boolean","NONS","","","",""
"124","i don't know","IDK","","","",""
"94","not sure","IDK","","","",""
"91","no clue at all","IDK","","","",""
"113","im really not sure","IDK","","","",""
"137","I still do not kn ow","IDK","","","",""
"161","no clue","IDK","","","",""
"157","no idea","IDK","","","",""
"173","dont know","IDK","","","",""
"190","i am not sure","IDK","","","",""
"162","I have no idea","IDK","","","",""
"118","No idea","IDK","","","",""
"158","no idea","IDK","","","",""
"177","no idea","IDK","","","",""
"129","i do not understand","IDK","","","",""
"140","honestly I have no idea","IDK","","","",""
"147","idk","IDK","","","",""
"126","I really don't know, I'm very bad at math","IDK","","","",""
"121","I can't decide","IDK","","","",""
"141","?","IDK","","","",""
"125","I have no idea.","IDK","","","",""
